logical_name	description	repository_path	source_sha256	repository_sha256	size_bytes	sanitized
stage62_quantum_audit	Frozen-path 1D quantum-level audit.	scripts/stage62_frozen_path_1d_tunneling_audit_v003.py	26ac93df3b90a947b627fae3753bc96b5497bfda5efb47d2ca6befffe0390886	fac0d0db8abdac87868154d2a59b009fa5d0d0ac9345528469f9ca7573b43699	72992	TRUE
stage63_quantum_figure	Final Supplementary Figure S3 renderer.	scripts/render_stage63_supplementary_figure_s3_quantum_audit_v005.py	bab1626acc522c47ce98d6bcce531c3f28e69680868daf1577aaba2678adfa47	011abea5971821ae55ec76615051bf55c84058444514ff1bce659856cd0f044c	40145	TRUE
neb9_energy_profiles	PBE/basin/targeted energies on the frozen PBE NEB9 path.	data/frozen_audit/neb9_energy_profiles_v005.tsv	b7efc556d0c4ed1109a0a4c0740decaf166159a5ee06eebc9a9d846e520b9898	b7efc556d0c4ed1109a0a4c0740decaf166159a5ee06eebc9a9d846e520b9898	3723	FALSE
neb9_barrier_summary	Frozen-path barrier summary.	data/frozen_audit/neb9_barrier_summary_v005.tsv	8b4ecfb24f982955d45d497f74e7363ce60cc6a9b38d9e1b320d48d09818d692	8b4ecfb24f982955d45d497f74e7363ce60cc6a9b38d9e1b320d48d09818d692	439	FALSE
primary_metric_summary	Primary frozen-audit metrics.	data/frozen_audit/primary_metric_summary_v005.tsv	94bd1d2d1180d6f71323236b2a0cc1894048e83e67f19c56d92fc869bdd53752	633197b577f4293d948778b166a62c50d6500a1a4671214bcd1c07c2d9fedfe2	793	TRUE
dft_neb9_geometry	Checksum-locked PBE NEB9 geometries.	data/frozen_audit/dft_independent_neb9_v005.xyz	276aafb70294ab1bcc23972729120a6b106177b2d06bf4f92d223e92baeb33cc	139d231dc033230b50b5d5dde825be523290c2f77b9ce558caa3802694c6f626	6971	TRUE
quantum_results_primary	Primary H/D quantum-level audit results.	data/quantum_audit/quantum_results_primary_v039.tsv	b0af499281102797f5107b86902c38d25bd6f7c85c5c2eedc9f8a4ca0fee6130	b0af499281102797f5107b86902c38d25bd6f7c85c5c2eedc9f8a4ca0fee6130	3039	FALSE
quantum_robustness	Predeclared quantum-audit robustness comparisons.	data/quantum_audit/robustness_comparisons_v039.tsv	754cd22aa244d4773074cc6206c1d1734678e900b545596eac53e2abd01b08c3	754cd22aa244d4773074cc6206c1d1734678e900b545596eac53e2abd01b08c3	3740	FALSE
quantum_potential_mass_grid	Potential and path-metric mass grid.	data/quantum_audit/primary_potential_and_mass_grid_v039.tsv	15ce676e0d0f3ec05bee620cce76cc6cbc2e0b255b2258eacbfea65d2a46ccb7	15ce676e0d0f3ec05bee620cce76cc6cbc2e0b255b2258eacbfea65d2a46ccb7	1264395	FALSE
effective_mass_profiles	H/D effective-mass profiles.	data/quantum_audit/effective_mass_profiles_v039.tsv	6acdadda78e934ec6f1c534ef495a92b6460cbe7f08e3a65f8025b84a451a305	6acdadda78e934ec6f1c534ef495a92b6460cbe7f08e3a65f8025b84a451a305	143091	FALSE
figure01_png	Equal-budget sampling design.	figures/main/figure01_equal_budget_design_focus_v019.png	5a092cbd0a807f616d6a3a045afcefa77a59c4e276f2b839e806eb67eb138b14	5a092cbd0a807f616d6a3a045afcefa77a59c4e276f2b839e806eb67eb138b14	508927	FALSE
figure02_png	Primary frozen-path audit.	figures/main/figure02_primary_frozen_audit_spacious_v009.png	4a102f575b9ff0138da8e530d564044ede27a73e12a03ec6d97339e29cb5a9ec	4a102f575b9ff0138da8e530d564044ede27a73e12a03ec6d97339e29cb5a9ec	622179	FALSE
figure03_png	First-update applicability failure.	figures/main/figure03_deployment_applicability_text_clear_v013.png	d6d8e4483fc05c38415cb36353f80b67718ae6a09cc3c8eedb19862ce364f15b	d6d8e4483fc05c38415cb36353f80b67718ae6a09cc3c8eedb19862ce364f15b	508159	FALSE
figure04_png	Relaxed MTP-NEB secondary evidence.	figures/main/figure04_secondary_mtp_neb_v014.png	9cdbd85c3fe587f732fd8718c86449d41ea0eb1453715c3ac858c3de71f18a97	9cdbd85c3fe587f732fd8718c86449d41ea0eb1453715c3ac858c3de71f18a97	771920	FALSE
supplementary_figure_s1_png	Online/offline applicability-grade consistency.	figures/supplementary/supplementary_figure_s1_selection_interface_consistency_v020.png	1f8de353377d43694964aea5f60646fa334e112b6a3106ea944576409514a017	1f8de353377d43694964aea5f60646fa334e112b6a3106ea944576409514a017	422330	FALSE
supplementary_figure_s2_png	Applicability-grade distributions.	figures/supplementary/supplementary_figure_s2_applicability_grades_spacious_v022.png	e739be1f8da309e4d31053bd984492469b98d872b564efe7b67ba1638cc754a1	e739be1f8da309e4d31053bd984492469b98d872b564efe7b67ba1638cc754a1	560045	FALSE
supplementary_figure_s3_png	Frozen-path quantum-level audit.	figures/supplementary/supplementary_figure_s3_quantum_level_audit_v044.png	3bfa93b62fd80d6b46387d4755f1d26464c58dc9c7fab13799e1c2a106f9f91a	3bfa93b62fd80d6b46387d4755f1d26464c58dc9c7fab13799e1c2a106f9f91a	578920	FALSE
supplementary_figure_s3_pdf	PDF export of the frozen-path quantum-level audit.	figures/supplementary/supplementary_figure_s3_quantum_level_audit_v044.pdf	ada280d1eb3d099cb4bcca1a1108348450892b84ba56f35e5621ba3786ff12c8	ada280d1eb3d099cb4bcca1a1108348450892b84ba56f35e5621ba3786ff12c8	40589	FALSE
video01_relaxed_path	Targeted path preservation versus basin collapse.	media/videos/video01_relaxed_path_clean_v030.mp4	8473c362f4d7530c07381a9a45b3c1b67a06b2a303289974781b7e92f8987b29	8473c362f4d7530c07381a9a45b3c1b67a06b2a303289974781b7e92f8987b29	230891	FALSE
video02_pbe_mep	PBE minimum-energy-path animation.	media/videos/video02_proton_transfer_pbe_mep_clean_v034.mp4	5725c6323eb7e9ea26a165a7441a76c2add8e5e8317435e94354859b7abd981c	5725c6323eb7e9ea26a165a7441a76c2add8e5e8317435e94354859b7abd981c	229164	FALSE
