filename	repository_path	stage_role	description	source_sha256	repository_sha256	sanitized	source_reference
step26_independent_neb_dft_v024.py	scripts/core_pipeline/step26_independent_neb_dft_v024.py	01_dft_reference	Independent PBE NEB calculation.	8d7b0eadfab692d9b470d592e2755114977427d7694a22a1766b4d5001aa9d05	8d7b0eadfab692d9b470d592e2755114977427d7694a22a1766b4d5001aa9d05	FALSE	${PROJECT_ROOT}/scripts/step26_independent_neb_dft_v024.py
step27_independent_neb_single_points_v025.py	scripts/core_pipeline/step27_independent_neb_single_points_v025.py	02_neb_single_points	Independent PBE single-point evaluation of the NEB9 path.	0da2ab0adb62cd41b238523f928c80096f324fa47fd7f1235ad04eff84f0945a	0da2ab0adb62cd41b238523f928c80096f324fa47fd7f1235ad04eff84f0945a	FALSE	${PROJECT_ROOT}/scripts/step27_independent_neb_single_points_v025.py
step28_fresh_tube_active_selection_v026.py	scripts/core_pipeline/step28_fresh_tube_active_selection_v026.py	03_transition_tube_selection	Fresh transition-tube active selection.	67a20a7be46d45f27f505fa230ea30454c42248f2a0791cbb502c3e92095c7f5	67a20a7be46d45f27f505fa230ea30454c42248f2a0791cbb502c3e92095c7f5	FALSE	${PROJECT_ROOT}/scripts/step28_fresh_tube_active_selection_v026.py
step29_equal_budget_dft_labels_v027.py	scripts/core_pipeline/step29_equal_budget_dft_labels_v027.py	04_equal_budget_dft_labels	Equal-budget basin and transition-focused DFT labels.	b74fcc1ba3877300595d9ffe939f4913a68d1adb3a04a55c647e8aa804cd1259	b74fcc1ba3877300595d9ffe939f4913a68d1adb3a04a55c647e8aa804cd1259	FALSE	${PROJECT_ROOT}/scripts/step29_equal_budget_dft_labels_v027.py
step30_train_equal_budget_l12_v028.py	scripts/core_pipeline/step30_train_equal_budget_l12_v028.py	05_equal_budget_mtp_training	Equal-budget level-12 MTP training.	182558ec08f3daa0f0fa27e45083f2c8d0d858c50fbc1895b8f875a967aca972	182558ec08f3daa0f0fa27e45083f2c8d0d858c50fbc1895b8f875a967aca972	FALSE	${PROJECT_ROOT}/scripts/step30_train_equal_budget_l12_v028.py
step31_frozen_audit21_evaluation_v029.py	scripts/core_pipeline/step31_frozen_audit21_evaluation_v029.py	06_frozen_audit	Frozen audit21 evaluation.	e775e6eadb77d0b85804c12454da67f89c4b490a18eac001a75690c901e43d8f	e775e6eadb77d0b85804c12454da67f89c4b490a18eac001a75690c901e43d8f	FALSE	${PROJECT_ROOT}/scripts/step31_frozen_audit21_evaluation_v029.py
step32_final_primary_analysis_v030.py	scripts/core_pipeline/step32_final_primary_analysis_v030.py	07_primary_analysis	Original final primary analysis.	fce3c4a64d6de10573cfea2760e5f04e9d4d0438e14dee2db836f84587126433	fce3c4a64d6de10573cfea2760e5f04e9d4d0438e14dee2db836f84587126433	FALSE	${PROJECT_ROOT}/scripts/step32_final_primary_analysis_v030.py
step32b_primary_metric_protocol_recovery_v030r.py	scripts/core_pipeline/step32b_primary_metric_protocol_recovery_v030r.py	08_primary_metric_recovery	Authoritative repaired primary metrics used in the final figures.	b52995134d2cccf0c1ed6084a09c6971161e62755ac204c9c884cd8e5491a087	b52995134d2cccf0c1ed6084a09c6971161e62755ac204c9c884cd8e5491a087	FALSE	${PROJECT_ROOT}/scripts/step32b_primary_metric_protocol_recovery_v030r.py
step33_secondary_mtp_neb_v031.py	scripts/core_pipeline/step33_secondary_mtp_neb_v031.py	09_secondary_mtp_neb	Secondary relaxed MTP-NEB analysis.	8162cbdc7ac362dff6c55c6f94e8acf8c3152568ffaa96ec07d0b21df77c19c9	8162cbdc7ac362dff6c55c6f94e8acf8c3152568ffaa96ec07d0b21df77c19c9	FALSE	${PROJECT_ROOT}/scripts/step33_secondary_mtp_neb_v031.py
step34_targeted_md_diagnostics_v032.py	scripts/core_pipeline/step34_targeted_md_diagnostics_v032.py	10_first_update_diagnostics	Targeted first-update applicability diagnostics.	ff1a2df547230c7d0595aa5e2ca79186e21722773290a156ab4d1dd12b36b2fa	ff1a2df547230c7d0595aa5e2ca79186e21722773290a156ab4d1dd12b36b2fa	FALSE	${PROJECT_ROOT}/scripts/step34_targeted_md_diagnostics_v032.py
step34c_v032_selection_interface_diagnostic_v032d.py	scripts/core_pipeline/step34c_v032_selection_interface_diagnostic_v032d.py	11_selection_interface_diagnostic	Exact offline/online selection-interface diagnostic.	8585a400029d74b7c5c13c4f37220e3954b5a4d90015d4f4cbee478f80de91be	8585a400029d74b7c5c13c4f37220e3954b5a4d90015d4f4cbee478f80de91be	FALSE	${PROJECT_ROOT}/scripts/step34c_v032_selection_interface_diagnostic_v032d.py
step35_project_closeout_v033.py	scripts/core_pipeline/step35_project_closeout_v033.py	12_project_closeout	Project closeout and final consistency checks.	e165d6059f34f7f5609332017255413a84050b2d5b351bd87ed327e23602cb5c	e165d6059f34f7f5609332017255413a84050b2d5b351bd87ed327e23602cb5c	FALSE	${PROJECT_ROOT}/scripts/step35_project_closeout_v033.py
